"FORMULARIO";"INGRESOS";"F_EXP"
"1507";5;83,16
"1508";10;66,79
"1509";10;60,18
"1510";1;84,31
"1511";10;88,55
"1512";10;15,08
"1513";10;23,29
"1514";3;10,97
"1515";3;23,29
"1516";10;60,18
"1517";10;40,77
"1519";2;51,55
"1520";3;98,36
"1522";2;98,24
"1524";2;57,13
"1525";2;51,42
"1526";1;41,56
"1527";2;57,13
"1528";10;50,93
"1529";2;24,59
"1530";3;66,00
"1531";10;505,65
"1532";10;234,41
"1533";10;107,75
"1534";1;26,89
"1535";10;62,05
"1536";2;48,41
"1537";10;36,31
"1538";3;104,05
"1540";2;29,82
"1541";1;35,99
"1542";2;35,99
"1543";1;33,70
"1544";1;39,83
"1545";1;23,46
"1546";2;23,46
"1547";1;28,61
"1548";2;37,14
"1549";3;19,21
"1551";2;271,73
"1552";2;2,29
"1553";1;87,88
"1554";2;23,47
"1555";2;41,52
"1556";1;43,58
"1557";1;43,58
"1558";2;28,07
"1559";2;53,67
"1560";2;41,46
"1561";1;1135,38
"1562";2;454,91
"1563";1;80,46
"1564";3;79,55
"1565";3;48,49
"1567";7;49,03
"1568";1;12,41
"1569";1;12,38
"1570";10;48,49
"1571";10;34,76
"1572";5;115,54
"1574";10;115,54
"1575";5;78,86
"1577";6;80,23
"1578";4;25,64
"1580";10;25,56
"1581";7;126,70
"1582";5;25,80
"1584";10;107,42
"1585";6;79,55
"1587";1;50,75
"1593";1;3,84
"1594";2;16,89
"1595";1;20,90
"1596";1;34,30
"1597";2;32,31
"1598";1;25,66
"1599";2;12,47
"1600";1;102,15
"1601";1;30,46
"1603";2;37,87
"1604";2;40,39
"1605";2;100,36
"1606";4;11,98
"1607";1;23,39
"1608";3;36,79
"1609";2;6,17
"1612";2;20,01
"1613";3;32,90
"1614";2;39,06
"1615";2;33,39
"1616";1;61,71
"1617";10;21,35
"1618";10;2,56
"1619";2;21,78
"1620";2;14,33
"1621";1;11,69
"1622";1;57,34
"1623";10;38,42
"1624";1;60,72
"1625";10;15,26
"1626";1;11,99
"1627";1;12,30
"1628";1;271,73
"1629";1;37,45
"1630";10;136,68
"1631";10;41,23
"1632";1;35,99
"1633";10;35,99
"1634";1;213,03
"1635";3;150,83
"1636";2;84,19
"1637";1;36,28
"1638";4;65,03
"1639";3;83,63
"1640";1;149,71
"1641";1;278,54
"1642";10;54,95
"1643";1;46,41
"1644";10;43,74
"1645";2;43,74
"1647";10;43,74
"1649";8;62,83
"1651";7;67,50
"1653";9;95,72
"1654";3;56,74
"1656";9;82,96
"1657";2;45,31
"1658";1;38,31
"1660";1;22,20
"1662";10;85,58
"1663";9;62,80
"1665";10;43,74
"1666";10;85,55
"1667";1;115,49
"1669";10;51,52
"1670";1;56,74
"1672";10;43,74
"1673";10;23,37
"1674";10;5,88
"1675";10;37,19
"1676";2;79,39
"1677";10;41,00
"1678";10;28,71
"1679";10;22,48
"1680";10;17,30
"1681";3;21,36
"1682";1;34,13
"1683";10;166,44
"1684";1;65,88
"1686";1;82,43
"1687";10;30,17
"1688";2;27,94
"1689";8;38,00
"1690";1;181,83
"1694";2;13,00
"1696";1;12,86
"1698";2;48,59
"1702";1;31,21
"1703";2;5,79
"1704";1;99,06
"1705";2;99,06
"1706";2;73,08
"1707";2;25,66
"1708";1;34,30
"1709";3;25,56
"1710";1;56,19
"1711";2;21,62
"1713";1;41,24
"1715";2;5,29
"1717";2;58,95
"1718";1;10,84
"1719";1;27,74
"1720";1;10,44
"1721";4;4,03
"1722";2;44,38
"1723";1;16,11
"1724";2;9,75
"1725";2;13,01
"1726";2;58,49
"1727";2;64,80
"1728";2;41,46
"1729";1;55,79
"1730";1;46,47
"1731";1;53,50
"1732";10;25,62
"1733";10;28,20
"1734";10;50,61
"1735";1;136,74
"1737";1;38,13
"1739";1;20,90
"1741";10;53,08
"1742";1;24,46
"1743";10;70,73
"1744";2;199,26
"1746";10;80,18
"1747";1;61,65
"1749";2;143,58
"1750";10;259,87
"1753";10;113,79
"1754";3;79,13
"1755";8;109,03
"1756";2;36,28
"1758";2;29,49
"1759";1;39,80
"1760";2;298,90
"1761";1;133,84
"1762";1;13,19
"1763";1;13,81
"1764";2;14,44
"1765";1;20,02
"1766";1;46,87
"1767";1;14,09
"1768";1;73,02
"1769";1;13,46
"1770";1;6,63
"1771";1;114,15
"1772";1;152,96
"1773";1;39,51
"1774";1;39,51
"1775";2;19,40
"1776";1;23,93
"1777";1;18,66
"1778";10;49,70
"1779";1;18,79
"1780";1;19,21
"1781";10;14,63
"1782";10;7,73
"1783";10;10,24
"1784";10;16,42
"1785";10;16,47
"1787";7;34,62
"1789";1;103,20
"1790";1;25,50
"1791";10;28,94
"1792";10;27,45
"1793";10;27,45
"1796";10;12,29
"1797";10;11,99
"1798";10;10,71
"1800";10;34,76
"1803";3;35,45
"1805";1;45,03
"1807";1;31,78
"1808";1;39,35
"1810";1;48,62
"1811";1;70,73
"1812";2;33,82
"1813";1;37,87
"1814";1;202,07
"1815";1;17,61
"1816";2;18,70
"1817";1;245,45
"1818";3;5,40
"1819";2;20,71
"1821";4;79,08
"1822";3;12,39
"1823";10;19,05
"1824";3;22,19
"1825";2;90,88
"1827";3;79,22
"1828";3;45,71
"1829";1;25,50
"1830";1;100,37
"1832";2;241,20
"1833";1;44,48
"1834";2;145,39
"1835";1;89,04
"1836";2;304,49
"1838";2;428,46
"1839";2;20,71
"1840";1;25,50
"1841";2;55,62
"1842";1;28,07
"1843";2;53,50
"1844";1;10,62
"1845";2;10,48
"1846";1;32,25
"1847";2;32,25
"1848";1;29,45
"1849";1;21,16
"1850";4;13,35
"1851";2;13,84
"1852";1;21,16
"1853";2;18,36
"1854";2;33,56
"1855";2;37,13
"1856";1;30,75
"1857";2;81,05
"1858";1;75,08
"1859";1;100,71
"1860";2;94,77
"1861";3;94,77
"1862";10;34,50
"1863";2;16,71
"1864";1;29,53
"1865";1;38,63
"1866";1;21,37
"1867";1;36,93
"1868";1;62,48
"1869";2;41,59
"1870";2;32,93
"1871";1;32,93
"1872";2;46,47
"1873";2;11,33
"1874";1;11,33
"1875";1;419,69
"1876";1;12,77
"1877";1;15,20
"1878";2;15,20
"1879";2;24,53
"1880";10;19,87
"1881";3;22,20
"1882";2;17,53
"1883";2;15,39
"1884";1;22,20
"1885";2;42,01
"1886";10;29,53
"1887";3;45,86
"1888";2;112,01
"1889";3;118,09
"1890";2;42,01
"1891";1;31,85
"1892";2;30,69
"1893";1;29,53
"1894";2;20,86
"1895";2;79,06
"1896";1;79,08
"1897";1;24,18
"1898";1;29,59
"1899";2;99,58
"1900";6;32,87
"1901";4;195,46
"1902";5;15,45
"1903";3;17,61
"1904";2;129,92
"1905";2;285,28
"1906";2;20,82
"1907";5;105,94
"1908";2;206,34
"1909";2;38,13
"1910";1;31,78
"1911";2;120,49
"1912";2;64,39
"1913";10;28,61
"1914";2;60,34
"1915";1;96,85
"1916";2;51,76
"1917";4;51,44
"1918";1;14,60
"1919";1;55,34
"1920";1;28,84
"1921";1;31,21
"1922";1;64,56
"1923";1;81,11
"1924";1;113,07
"1925";1;140,79
"1926";1;66,68
"1927";2;77,57
"1929";4;74,81
"1930";1;19,78
"1931";10;103,44
"1933";2;48,62
"1934";1;53,26
"1935";2;484,02
"1937";2;41,30
"1938";3;28,60
"1941";2;52,50
"1942";4;9,91
"1943";2;38,39
"1944";2;58,24
"1945";2;48,42
"1946";1;116,66
"1947";2;19,35
"1948";2;19,35
"1949";10;71,38
"1950";1;61,99
"1951";2;30,00
"1952";2;109,46
"1953";2;49,20
"1954";2;64,79
"1956";10;66,87
